Roll No,Attendance
220001001,0
220001002,0
220001003,0
220001004,0
220001005,0
220001006,1
220001007,1
220001008,0
220001009,0
220001010,0
220001011,1
220001012,0
220001013,0
220001014,0
220001015,0
220001016,0
220001017,0
220001018,0
220001019,0
220001020,0
220001021,0
220001022,1
220001023,0
220001024,1
220001025,1
220001026,0
220001027,0
220001028,1
220001029,0
220001030,0
220001031,1
220001032,0
220001033,1
220001034,0
220001035,1
220001036,1
220001037,0
220001038,0
220001039,0
220001040,1
220001041,1
220001042,0
220001043,1
220001044,1
220001045,0
220001046,0
220001047,0
220001048,0
220001049,0
220001050,0
220001051,0
220001052,0
220001053,1
220001054,1
220001055,0
220001056,0
220001057,0
220001058,0
220001059,0
220001060,0
220001061,0
220001062,0
220001063,0
220001064,1
220001065,0
220001066,0
220001067,0
220001068,0
220001069,0
220001070,0
220001071,0
220001072,0
220001073,0
220001074,0
220001075,0
220001076,0
220001077,0
220001078,1
220001079,1
220001080,1
220001081,1
220001082,1
220002018,1
220002029,1
220002063,0
220002081,0
